2019-Nov-03 15:03:22.941624 INFO [daemon] fedoragold v1.1.5.1()
2019-Nov-03 15:03:22.941707 INFO [daemon] Module folder: ./fedoragold_daemon
2019-Nov-03 15:03:22.942233 INFO [daemon] Initializing p2p server...
2019-Nov-03 15:03:23.840815 INFO [node_server] Binding on 0.0.0.0:30158
2019-Nov-03 15:03:23.840899 INFO [node_server] Net service binded on 0.0.0.0:30158
2019-Nov-03 15:03:23.840921 INFO [node_server] Attempting to add IGD port mapping.
2019-Nov-03 15:03:27.851616 INFO [node_server] No IGD was found.
2019-Nov-03 15:03:48.567115 INFO [Blockchain] Height 193000 of 1308374
2019-Nov-03 15:03:48.827071 INFO [Blockchain] Height 194000 of 1308374
2019-Nov-03 15:03:48.905999 INFO [Blockchain] Height 195000 of 1308374
2019-Nov-03 15:03:48.970471 INFO [Blockchain] Height 196000 of 1308374
2019-Nov-03 15:03:49.135139 INFO [Blockchain] Height 197000 of 1308374
2019-Nov-03 15:03:49.288275 INFO [Blockchain] Height 198000 of 1308374
2019-Nov-03 15:03:49.344895 INFO [Blockchain] Height 199000 of 1308374
2019-Nov-03 15:03:49.418157 INFO [Blockchain] Height 200000 of 1308374
2019-Nov-03 15:03:49.477917 INFO [Blockchain] Height 201000 of 1308374
2019-Nov-03 15:03:49.538400 INFO [Blockchain] Height 202000 of 1308374
2019-Nov-03 15:03:49.788395 INFO [Blockchain] Height 203000 of 1308374
2019-Nov-03 15:03:49.853021 INFO [Blockchain] Height 204000 of 1308374
2019-Nov-03 15:03:49.922275 INFO [Blockchain] Height 205000 of 1308374
2019-Nov-03 15:03:50.122228 INFO [Blockchain] Height 206000 of 1308374
2019-Nov-03 15:03:50.280906 INFO [Blockchain] Height 207000 of 1308374
2019-Nov-03 15:03:50.348726 INFO [Blockchain] Height 208000 of 1308374
2019-Nov-03 15:03:50.426395 INFO [Blockchain] Height 209000 of 1308374
2019-Nov-03 15:03:50.498583 INFO [Blockchain] Height 210000 of 1308374
2019-Nov-03 15:03:50.571780 INFO [Blockchain] Height 211000 of 1308374
2019-Nov-03 15:03:50.682469 INFO [Blockchain] Height 212000 of 1308374
2019-Nov-03 15:03:50.776173 INFO [Blockchain] Height 213000 of 1308374
2019-Nov-03 15:03:50.889092 INFO [Blockchain] Height 214000 of 1308374
2019-Nov-03 15:03:50.992605 INFO [Blockchain] Height 215000 of 1308374
2019-Nov-03 15:03:51.090850 INFO [Blockchain] Height 216000 of 1308374
2019-Nov-03 15:03:51.209031 INFO [Blockchain] Height 217000 of 1308374
2019-Nov-03 15:03:51.335306 INFO [Blockchain] Height 218000 of 1308374
2019-Nov-03 15:03:51.502218 INFO [Blockchain] Height 219000 of 1308374
2019-Nov-03 15:03:51.620807 INFO [Blockchain] Height 220000 of 1308374
2019-Nov-03 15:03:51.750278 INFO [Blockchain] Height 221000 of 1308374
2019-Nov-03 15:03:51.932122 INFO [Blockchain] Height 222000 of 1308374
2019-Nov-03 15:03:52.048664 INFO [Blockchain] Height 223000 of 1308374
2019-Nov-03 15:03:52.175069 INFO [Blockchain] Height 224000 of 1308374
2019-Nov-03 15:03:52.326979 INFO [Blockchain] Height 225000 of 1308374
2019-Nov-03 15:03:52.455864 INFO [Blockchain] Height 226000 of 1308374
2019-Nov-03 15:03:52.582952 INFO [Blockchain] Height 227000 of 1308374
2019-Nov-03 15:03:52.695941 INFO [Blockchain] Height 228000 of 1308374
2019-Nov-03 15:03:52.806221 INFO [Blockchain] Height 229000 of 1308374
2019-Nov-03 15:03:52.910587 INFO [Blockchain] Height 230000 of 1308374
2019-Nov-03 15:03:53.029787 INFO [Blockchain] Height 231000 of 1308374
2019-Nov-03 15:03:53.141380 INFO [Blockchain] Height 232000 of 1308374
2019-Nov-03 15:03:53.265146 INFO [Blockchain] Height 233000 of 1308374
2019-Nov-03 15:03:53.841754 INFO [Blockchain] Height 234000 of 1308374
2019-Nov-03 15:03:53.946500 INFO [Blockchain] Height 235000 of 1308374
2019-Nov-03 15:03:54.051392 INFO [Blockchain] Height 236000 of 1308374
2019-Nov-03 15:03:54.152400 INFO [Blockchain] Height 237000 of 1308374
2019-Nov-03 15:03:54.578733 INFO [Blockchain] Height 238000 of 1308374
2019-Nov-03 15:03:54.665426 INFO [Blockchain] Height 239000 of 1308374
2019-Nov-03 15:03:54.770890 INFO [Blockchain] Height 240000 of 1308374
2019-Nov-03 15:03:54.878497 INFO [Blockchain] Height 241000 of 1308374
2019-Nov-03 15:03:54.963421 INFO [Blockchain] Height 242000 of 1308374
2019-Nov-03 15:03:55.053273 INFO [Blockchain] Height 243000 of 1308374
2019-Nov-03 15:03:55.142066 INFO [Blockchain] Height 244000 of 1308374
2019-Nov-03 15:03:55.222683 INFO [Blockchain] Height 245000 of 1308374
2019-Nov-03 15:03:55.323394 INFO [Blockchain] Height 246000 of 1308374
2019-Nov-03 15:03:55.542781 INFO [Blockchain] Height 247000 of 1308374
2019-Nov-03 15:03:55.651702 INFO [Blockchain] Height 248000 of 1308374
2019-Nov-03 15:03:55.754832 INFO [Blockchain] Height 249000 of 1308374
2019-Nov-03 15:03:55.844428 INFO [Blockchain] Height 250000 of 1308374
2019-Nov-03 15:03:55.932846 INFO [Blockchain] Height 251000 of 1308374
2019-Nov-03 15:03:56.020063 INFO [Blockchain] Height 252000 of 1308374
2019-Nov-03 15:03:56.106171 INFO [Blockchain] Height 253000 of 1308374
2019-Nov-03 15:03:56.238434 INFO [Blockchain] Height 254000 of 1308374
2019-Nov-03 15:03:56.348784 INFO [Blockchain] Height 255000 of 1308374
2019-Nov-03 15:03:56.446259 INFO [Blockchain] Height 256000 of 1308374
2019-Nov-03 15:03:56.539834 INFO [Blockchain] Height 257000 of 1308374
2019-Nov-03 15:03:56.628900 INFO [Blockchain] Height 258000 of 1308374
2019-Nov-03 15:03:56.716504 INFO [Blockchain] Height 259000 of 1308374
2019-Nov-03 15:03:56.836267 INFO [Blockchain] Height 260000 of 1308374
2019-Nov-03 15:03:56.962898 INFO [Blockchain] Height 261000 of 1308374
2019-Nov-03 15:03:57.079295 INFO [Blockchain] Height 262000 of 1308374
2019-Nov-03 15:03:57.200580 INFO [Blockchain] Height 263000 of 1308374
2019-Nov-03 15:03:57.333601 INFO [Blockchain] Height 264000 of 1308374
2019-Nov-03 15:03:57.456688 INFO [Blockchain] Height 265000 of 1308374
2019-Nov-03 15:03:57.581672 INFO [Blockchain] Height 266000 of 1308374
2019-Nov-03 15:03:57.700856 INFO [Blockchain] Height 267000 of 1308374
2019-Nov-03 15:03:57.830367 INFO [Blockchain] Height 268000 of 1308374
2019-Nov-03 15:03:57.958316 INFO [Blockchain] Height 269000 of 1308374
2019-Nov-03 15:03:58.091304 INFO [Blockchain] Height 270000 of 1308374
2019-Nov-03 15:03:58.227164 INFO [Blockchain] Height 271000 of 1308374
2019-Nov-03 15:03:58.361015 INFO [Blockchain] Height 272000 of 1308374
2019-Nov-03 15:03:58.489245 INFO [Blockchain] Height 273000 of 1308374
2019-Nov-03 15:03:58.608633 INFO [Blockchain] Height 274000 of 1308374
2019-Nov-03 15:03:58.710310 INFO [Blockchain] Height 275000 of 1308374
2019-Nov-03 15:03:58.832070 INFO [Blockchain] Height 276000 of 1308374
2019-Nov-03 15:03:58.942510 INFO [Blockchain] Height 277000 of 1308374
2019-Nov-03 15:03:59.047811 INFO [Blockchain] Height 278000 of 1308374
2019-Nov-03 15:03:59.162438 INFO [Blockchain] Height 279000 of 1308374
2019-Nov-03 15:03:59.286981 INFO [Blockchain] Height 280000 of 1308374
2019-Nov-03 15:03:59.379748 INFO [Blockchain] Height 281000 of 1308374
2019-Nov-03 15:03:59.555329 INFO [Blockchain] Height 282000 of 1308374
2019-Nov-03 15:03:59.679225 INFO [Blockchain] Height 283000 of 1308374
2019-Nov-03 15:03:59.773997 INFO [Blockchain] Height 284000 of 1308374
2019-Nov-03 15:03:59.893885 INFO [Blockchain] Height 285000 of 1308374
2019-Nov-03 15:04:00.013842 INFO [Blockchain] Height 286000 of 1308374
2019-Nov-03 15:04:00.137050 INFO [Blockchain] Height 287000 of 1308374
2019-Nov-03 15:04:00.248786 INFO [Blockchain] Height 288000 of 1308374
2019-Nov-03 15:04:00.354908 INFO [Blockchain] Height 289000 of 1308374
2019-Nov-03 15:04:00.480789 INFO [Blockchain] Height 290000 of 1308374
2019-Nov-03 15:04:00.586593 INFO [Blockchain] Height 291000 of 1308374
2019-Nov-03 15:04:00.692737 INFO [Blockchain] Height 292000 of 1308374
2019-Nov-03 15:04:00.802591 INFO [Blockchain] Height 293000 of 1308374
2019-Nov-03 15:04:00.901466 INFO [Blockchain] Height 294000 of 1308374
2019-Nov-03 15:04:01.012897 INFO [Blockchain] Height 295000 of 1308374
2019-Nov-03 15:04:01.118522 INFO [Blockchain] Height 296000 of 1308374
2019-Nov-03 15:04:01.228145 INFO [Blockchain] Height 297000 of 1308374
2019-Nov-03 15:04:01.348281 INFO [Blockchain] Height 298000 of 1308374
2019-Nov-03 15:04:01.462513 INFO [Blockchain] Height 299000 of 1308374
2019-Nov-03 15:04:01.575281 INFO [Blockchain] Height 300000 of 1308374
2019-Nov-03 15:04:01.687929 INFO [Blockchain] Height 301000 of 1308374
2019-Nov-03 15:04:01.812218 INFO [Blockchain] Height 302000 of 1308374
2019-Nov-03 15:04:01.937186 INFO [Blockchain] Height 303000 of 1308374
2019-Nov-03 15:04:02.062734 INFO [Blockchain] Height 304000 of 1308374
2019-Nov-03 15:04:02.173770 INFO [Blockchain] Height 305000 of 1308374
2019-Nov-03 15:04:02.283864 INFO [Blockchain] Height 306000 of 1308374
2019-Nov-03 15:04:02.394842 INFO [Blockchain] Height 307000 of 1308374
2019-Nov-03 15:04:02.511544 INFO [Blockchain] Height 308000 of 1308374
2019-Nov-03 15:04:02.626580 INFO [Blockchain] Height 309000 of 1308374
